timestamp_ms,speed_mm_per_s,smoothed_speed_mm_per_s
1630002059103,1588.65,1402.74
1630002059120,1322.04,1402.74
1630002059137,1538.03,1402.74
1630002059153,1411.49,1417.52
1630002059170,1569.83,1417.52
1630002059187,1422.63,1417.06
1630002059203,1598.93,1480.22
1630002059220,1424.15,1423.39
1630002059237,1386.32,1423.39
1630002059253,1575.55,1481.09
1630002059270,1507.53,1465.84
1630002059287,1402.86,1465.84
1630002059303,1580.62,1465.84
1630002059320,1460.29,1483.91
1630002059337,1517.79,1483.91
1630002059353,1448.50,1483.91
1630002059370,1616.69,1483.91
1630002059387,1433.93,1483.91
1630002059403,1392.60,1483.91
1630002059420,1457.08,1458.68
1630002059437,1436.70,1452.79
1630002059453,1606.06,1458.68
1630002059470,1362.53,1452.79
1630002059486,1477.72,1452.79
1630002059503,1449.88,1449.19
1630002059520,1367.08,1443.29
1630002059537,1477.65,1443.29
1630002059553,1413.89,1443.29
1630002059570,1434.55,1443.29
1630002059587,1452.91,1443.29
1630002059603,1513.89,1451.40
1630002059620,1406.76,1442.22
1630002059637,1346.42,1442.22
1630002059653,1509.52,1442.22
1630002059670,1376.26,1424.22
1630002059687,1375.29,1424.22
1630002059703,1490.62,1424.22
1630002059720,1451.92,1443.24
1630002059737,1372.29,1429.34
1630002059753,1557.48,1429.34
1630002059770,1358.30,1391.51
1630002059787,1414.46,1395.36
1630002059803,1358.08,1395.36
1630002059820,1512.19,1395.36
1630002059837,1392.10,1403.28
1630002059853,1638.18,1433.19
1630002059870,1338.91,1403.28
1630002059887,1484.15,1403.28
1630002059903,1488.95,1449.30
1630002059920,1483.37,1448.91
1630002059937,1422.82,1453.10
1630002059953,1520.07,1483.76
1630002059970,1502.91,1486.55
1630002059986,1667.46,1486.55
1630002060003,1418.23,1486.55
1630002060020,1498.43,1486.55
1630002060037,1357.23,1486.55
1630002060053,1629.42,1493.69
1630002060070,1408.78,1490.90
1630002060087,1524.26,1500.67
1630002060103,1501.06,1501.98
1630002060120,1529.59,1501.98
1630002060137,1451.22,1499.74
1630002060153,1685.87,1499.74
1630002060170,1315.78,1499.74
1630002060187,1547.59,1512.66
1630002060203,1459.98,1512.66
1630002060220,1518.02,1509.54
1630002060237,1331.95,1509.54
1630002060253,1564.15,1509.54
1630002060270,1419.53,1489.00
1630002060287,1468.11,1464.05
1630002060303,1544.28,1493.07
1630002060320,1422.86,1464.05
1630002060337,1400.45,1464.05
1630002060353,1498.54,1464.05
1630002060370,1401.09,1445.49
1630002060387,1532.09,1445.49
1630002060403,1423.11,1445.61
1630002060420,1496.64,1445.61
1630002060437,1378.75,1445.61
1630002060453,1570.90,1459.88
1630002060470,1395.66,1422.99
1630002060487,1448.53,1435.82
1630002060503,1366.39,1435.82
1630002060520,1425.56,1424.33
1630002060537,1368.37,1424.33
1630002060553,1635.37,1424.33
1630002060570,1295.88,1410.61
1630002060587,1555.13,1410.61
1630002060603,1475.89,1437.04
1630002060620,1516.09,1437.04
1630002060637,1314.42,1437.04
1630002060653,1586.57,1450.72
1630002060670,1319.44,1450.72
1630002060687,1475.89,1475.89
1630002060703,1517.91,1495.99
1630002060720,1555.65,1495.99
1630002060737,1396.93,1495.99
1630002060753,1602.76,1495.99
1630002060770,1235.14,1495.99
1630002060787,1650.87,1496.90
1630002060803,1384.67,1496.90
1630002060820,1500.73,1488.31
1630002060837,1329.67,1488.31
1630002060853,1680.19,1509.32
1630002060870,1399.90,1450.32
1630002060887,1600.36,1450.32
1630002060903,1374.82,1450.32
1630002060920,1523.87,1450.32
1630002060937,1449.84,1475.29
1630002060953,1682.08,1475.29
1630002060970,1300.07,1475.29
